sido_code,sido_name,sigungu_code,sigungu_name,lat,lon
42,강원특별자치도,42720,홍천군,37.7450490651798,128.074260851069
42,강원특별자치도,42730,횡성군,37.5091420708623,128.077067399412
42,강원특별자치도,42750,영월군,37.2041136139486,128.500296034183
42,강원특별자치도,42760,평창군,37.5568392092279,128.482589988928
42,강원특별자치도,42770,정선군,37.378686291947,128.739063164576
42,강원특별자치도,42780,철원군,38.239085227805,127.398924395203
42,강원특별자치도,42790,화천군,38.1384262833897,127.685165712505
42,강원특별자치도,42800,양구군,38.1756087929397,128.00020637556
42,강원특별자치도,42810,인제군,38.0646002611477,128.264727153164
42,강원특별자치도,42820,고성군,38.3627536323132,128.411155527583
42,강원특별자치도,42830,양양군,38.0044863378404,128.595008608358
43,충청북도,43111,청주시 상당구,36.5921124242822,127.584880170361
43,충청북도,43112,청주시 서원구,36.5472630452618,127.438400680028
43,충청북도,43113,청주시 흥덕구,36.6469607625864,127.369274883973
43,충청북도,43114,청주시 청원구,36.7205789140812,127.491317617217
43,충청북도,43130,충주시,37.0151969422309,127.895662264793
43,충청북도,43150,제천시,37.0599118320089,128.140959298264
43,충청북도,43720,보은군,36.4899495877011,127.729335671527
43,충청북도,43730,옥천군,36.3204561131185,127.656558857677
43,충청북도,43740,영동군,36.1596589565438,127.814228143629
43,충청북도,43745,증평군,36.7864730135078,127.604618078233
43,충청북도,43750,진천군,36.8709995193753,127.440463550866
43,충청북도,43760,괴산군,36.7696590254203,127.829588124543
43,충청북도,43770,음성군,36.9762226143929,127.614206769649
43,충청북도,43800,단양군,36.9944527624647,128.387841620811
44,충청남도,44131,천안시 동남구,36.7641172204376,127.220894604506
44,충청남도,44133,천안시 서북구,36.8927106650173,127.161809403871
44,충청남도,44150,공주시,36.4798197619166,127.075219114092
44,충청남도,44180,보령시,36.3402452315974,126.594247036573
44,충청남도,44200,아산시,36.8073163343412,126.980075570082
44,충청남도,44210,서산시,36.7839934557542,126.46360158405
44,충청남도,44230,논산시,36.1908869133429,127.157716376656
44,충청남도,44250,계룡시,36.2915936975407,127.23442661185
44,충청남도,44270,당진시,36.9032577806535,126.652744489844
44,충청남도,44710,금산군,36.1190008062681,127.478311888732
44,충청남도,44760,부여군,36.2463838972332,126.856967641629
44,충청남도,44770,서천군,36.1051721198503,126.70798053912
44,충청남도,44790,청양군,36.4305829588299,126.853113111348
44,충청남도,44800,홍성군,36.5700943071876,126.625853647553
44,충청남도,44810,예산군,36.6706286680345,126.784310944751
44,충청남도,44825,태안군,36.7036613001897,126.280957110456
45,전북특별자치도,45111,전주시 완산구,35.7920942821171,127.11950364974
45,전북특별자치도,45113,전주시 덕진구,35.8587011787187,127.11291565936
45,전북특별자치도,45130,군산시,35.9504389430271,126.726015246248
45,전북특별자치도,45140,익산시,36.0231055540053,126.989510169826
45,전북특별자치도,45180,정읍시,35.6026246603663,126.905857544493
45,전북특별자치도,45190,남원시,35.4225447969488,127.441889737369
45,전북특별자치도,45210,김제시,35.8067164440207,126.894885695778
45,전북특별자치도,45710,완주군,35.9186144442324,127.215114637508
45,전북특별자치도,45720,진안군,35.8288074542257,127.430035441264
45,전북특별자치도,45730,무주군,35.9393673572445,127.712953110665
45,전북특별자치도,45740,장수군,35.6574609766534,127.544264073338
45,전북특별자치도,45750,임실군,35.5982020390174,127.23664715076
45,전북특별자치도,45770,순창군,35.4336343018906,127.090086973909
45,전북특별자치도,45790,고창군,35.4481675712684,126.616046183821
45,전북특별자치도,45800,부안군,35.6779229042021,126.644377397867
46,전라남도,46110,목포시,34.8037641607396,126.391835279884
46,전라남도,46130,여수시,34.6961717520027,127.653203051431
46,전라남도,46150,순천시,34.9947450551448,127.389162729226
46,전라남도,46170,나주시,34.9885893950255,126.720410320441
46,전라남도,46230,광양시,35.0219784973327,127.655073489383
46,전라남도,46710,담양군,35.2914951032091,126.99529085588
46,전라남도,46720,곡성군,35.2166135526504,127.263582521482
46,전라남도,46730,구례군,35.2367662155319,127.503119252262
46,전라남도,46770,고흥군,34.5984849544264,127.314620496809
46,전라남도,46780,보성군,34.8143748975443,127.16212135653
46,전라남도,46790,화순군,35.0081857265855,127.033433535967
46,전라남도,46800,장흥군,34.6765370111094,126.921532343033
46,전라남도,46810,강진군,34.6204649536476,126.772151679591
46,전라남도,46820,해남군,34.5458246970807,126.521789767203
46,전라남도,46830,영암군,34.7995667154897,126.630694486252
46,전라남도,46840,무안군,34.9532044937196,126.425907894808
46,전라남도,46860,함평군,35.1126705354598,126.535604073216
46,전라남도,46870,영광군,35.278486028897,126.453129290159
46,전라남도,46880,장성군,35.3295643654947,126.768494899135
46,전라남도,46890,완도군,34.2955793288265,126.776806856665
46,전라남도,46900,진도군,34.4393963810115,126.21505784479
46,전라남도,46910,신안군,34.812406542719,126.048907027424
47,경상북도,47111,포항시 남구,35.958135261111,129.437654478101
47,경상북도,47113,포항시 북구,36.1650732656721,129.234008970271
47,경상북도,47130,경주시,35.8266428015017,129.235929627697
47,경상북도,47150,김천시,36.0604238588725,128.077707549125
47,경상북도,47170,안동시,36.5802422056025,128.780042683869
47,경상북도,47190,구미시,36.2073096409233,128.355555479514
47,경상북도,47210,영주시,36.8704754011711,128.597682616574
47,경상북도,47230,영천시,36.0157784386946,128.942624015507
47,경상북도,47250,상주시,36.4295023415802,128.067007021683
47,경상북도,47280,문경시,36.6907915134858,128.148608174775
47,경상북도,47290,경산시,35.8340600684167,128.809055150426
47,경상북도,47720,군위군,36.170112083695,128.648224601657
47,경상북도,47730,의성군,36.36204451291,128.615067309516
47,경상북도,47750,청송군,36.3569764278871,129.057385179311
47,경상북도,47760,영양군,36.6963888302894,129.145030452248
47,경상북도,47770,영덕군,36.4823876945435,129.317376210798
47,경상북도,47820,청도군,35.6729747808826,128.78652700767
47,경상북도,47830,고령군,35.7371971161653,128.306733709698
47,경상북도,47840,성주군,35.9072234215967,128.233393081637
47,경상북도,47850,칠곡군,36.0155113111248,128.462583826152
47,경상북도,47900,예천군,36.6538452724588,128.422384046261
47,경상북도,47920,봉화군,36.9341401575561,128.912900400873
47,경상북도,47930,울진군,36.9039131325185,129.312318559135
47,경상북도,47940,울릉군,37.5019419176678,130.864242977586
48,경상남도,48121,창원시 의창구,35.3089489577304,128.649588365972
48,경상남도,48123,창원시 성산구,35.1961856776519,128.672104408609
48,경상남도,48125,창원시 마산합포구,35.1354580596558,128.485255846076
48,경상남도,48127,창원시 마산회원구,35.2322265876372,128.536433164209
48,경상남도,48129,창원시 진해구,35.1299494537177,128.736300826452
48,경상남도,48170,진주시,35.2051576458627,128.129801130827
48,경상남도,48220,통영시,34.8293284346376,128.374077500619
48,경상남도,48240,사천시,35.0497034130916,128.037696348307
48,경상남도,48250,김해시,35.2721564205764,128.845215755418
48,경상남도,48270,밀양시,35.4984996962958,128.789601450873
48,경상남도,48310,거제시,34.8704352018273,128.623139519099
48,경상남도,48330,양산시,35.4018882102367,129.041041441693
48,경상남도,48720,의령군,35.3924310161302,128.277057796642
48,경상남도,48730,함안군,35.2910028072644,128.430876889515
48,경상남도,48740,창녕군,35.5082277302921,128.493051925751
48,경상남도,48820,고성군,35.0163044726877,128.29066319138
48,경상남도,48840,남해군,34.8182909796504,127.94114052543
48,경상남도,48850,하동군,35.138304625475,127.779049
48,경상남도,48860,산청군,35.3685973605501,127.884337919613
48,경상남도,48870,함양군,35.5516017059705,127.722041057077
48,경상남도,48880,거창군,35.7325521928431,127.904169551311
48,경상남도,48890,합천군,35.576577454881,128.141543703888
50,제주특별자치도,50110,제주시,33.4422018791824,126.52924761233
50,제주특별자치도,50130,서귀포시,33.3250402675935,126.581085738057
